Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
43,7 จุดเช็คอินที่เที่ยวญี่ปุ่น ที่ไม่ควรพลาด!!!!!! | ไทยโมเดิร์นทราเวล,https://thaimoderntravel.co.th/2024/10/09/7-%E0%B8%88%E0%B8%B8%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B9%87%E0%B8%84%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7%E0%B8%8D%E0%B8%B5%E0%B9%88/,https://sprunky.gg/ja,スプランキー,5754,10483,true,false,true,true,false,false,false,false,2025-08-31,2025-11-08,false,false
42,Pamukkale Day Trip from Bodrum: Ancient Ruins & Thermal Springs,http://directortour.com/blog/tours/pamukkale-tour,https://sprunky.gg/brainrot,Brainrot,6387,122,false,false,false,true,false,false,false,false,2025-11-02,2025-11-09,true,false
42,🎮 Tile Jumper 3D | 🎵 Rhythm-Based 3D Adventure Game,https://tilejumper3d.com/,https://games.sprunky.gg/games/tile-jumper-3d/,,1,7,false,false,false,false,true,false,false,false,2025-05-08,2025-05-17,false,false
36,Boxer Freezy MacBones Switches Nationality From Ghana To UK,https://talesofafrica.org/boxer-freezy-macbones-switches-nationality-from-ghana-to-uk/,https://sprunky.gg/,Sprunky,41,30,false,false,false,true,false,false,false,false,2025-09-01,2025-09-17,false,false
35,Surali Garden - Taluka Dapoli Travel,https://talukadapoli.com/travel/listing/surali-garden-2/,https://sprunky.gg/,Sprunky,1794,1893,false,false,false,true,false,false,false,false,2025-08-28,2025-10-16,false,false
35,The Art of Negotiation: Tips for Successful Business Deals - Narrate - Your AI-powered storytelling companion,https://www.narrate.site/?p=159,https://sprunky.gg/,Sprunky,37930,4247,false,false,false,true,false,false,false,false,2025-08-20,2025-09-20,false,false
34,"Panel de hogares CNMC: Cambiar de compañía de luz, gas o teléfono - CNMC Blog",https://blog.cnmc.es/2021/05/14/panel-de-hogares-cnmc-cambiar-de-compania-de-luz-gas-o-telefono/,https://sprunky.gg/sprunki-oc-v3,sprunki-oc-v3,9,113,true,false,true,true,false,false,false,false,2025-06-16,2025-11-07,false,false
34,Welcome to Journal Blog,https://diaffon.com.tr/blog/journal-blog,https://sprunky.gg/brainrot,https://sprunky.gg/brainrot,2318,99,false,false,false,true,false,false,false,false,2025-10-31,2025-11-09,true,false
34,Материалы и технологии Dorelan,https://dorelan-shop.com.ua/blog/20200714-1/,https://sprunky.gg/es,Sprunki,7432,76,false,false,false,true,false,false,false,false,2025-09-02,2025-10-16,false,false
34,Introducing: Relocate Rural,https://www.cartergroupland.com/articles/introducing-relocate-rural,https://sprunky.gg/es,Sprunki,1458,1556,false,false,false,true,false,false,false,false,2025-10-31,2025-11-09,true,false
32,36 hour cialis gooding | The Clear Way to Conceive Community,https://community.theclearwaytoconceive.com/question/36-hour-cialis-gooding/,https://sprunky.gg/,https://sprunky.gg/,6975,60,true,false,false,true,false,false,false,false,2025-08-19,2025-09-20,false,false
30,STOCHA,http://hydrology.irpi.cnr.it/stocha/,https://sprunky.gg/ja,スプランキー,2167,2544,true,false,false,true,false,false,false,false,2025-09-01,2025-09-02,false,false
30,Another Blog Post,https://www.journal-theme.com/6/blog/another-blog-post,https://sprunky.gg/,https://sprunky.gg,1002,223,false,false,false,true,false,false,false,false,2025-04-12,2025-05-09,false,false
29,Unlock the Power of Digital Marketing: Our Services - sunatman,https://sunatman.com/unlock-the-power-of-digital-marketing-our-services/,https://sprunky.gg/ja,スプランキー,26937,7154,true,false,true,true,false,false,false,false,2025-08-20,2025-09-28,false,false
28,Piano Music Lesson – Allegro Music School,https://www.allegromusicschool.org/piano-music-lesson/,https://sprunky.gg/es,Sprunki juego,8278,7661,false,false,false,true,false,false,false,false,2025-09-14,2025-09-22,false,false
26,How Dental Sealants Help Older Adults - Taylor Dentist and Braces,https://www.taylordentist.com/how-dental-sealants-help-older-adults/,https://sprunky.gg/ko/brainrot,,15905,110,false,false,false,true,false,false,false,false,2025-11-02,2025-11-07,true,false
24,sprunki+with+kuromame - de búsqueda,https://ar.search.yahoo.com/mobile/s?ei=UTF-8&fr2=12642&p=sprunki%2Bwith%2Bkuromame,https://sprunky.gg/es,sprunky.gg › es Jugar Sprunki | Sprunki Juego Online,10,27,false,false,false,true,false,false,false,false,2025-09-13,2025-09-13,false,false
24,A House Inside a House: A Fresh Look at the Mass – Catholic Stand,https://catholicstand.com/a-house-inside-a-house-a-fresh-look-at-the-mass/,https://sprunky.gg/es,Sprunki,21,131,true,false,true,true,false,false,false,false,2025-10-25,2025-10-25,true,false
23,This Week for Dinner: Week 786 Meal Plan - This Week for Dinner,https://thisweekfordinner.com/week-786-weekly-dinner-menu/,https://sprunky.gg/,https://sprunky.gg/,62,337,true,false,true,true,false,false,false,false,2025-07-29,2025-11-05,false,false
22,Highlights – Math with Bad Drawings,https://mathwithbaddrawings.com/authors-choice/,https://sprunky.gg/es,Sprunki,45,107,true,false,true,true,false,false,false,false,2025-11-04,2025-11-04,true,false
21,2048+game - Bing,http://rewards.bing.com/search?FORM=QSRE10&q=2048%2Bgame,https://sprunky.gg/2048,2048 • Play the Classic Online Number Puzzle Game,27,22,false,false,false,true,false,false,false,false,2025-10-21,2025-10-21,true,false
21,gooブログはじめました！,https://blog.goo.ne.jp/problog,https://sprunky.gg/,sprunky.gg,23,89,false,false,false,true,false,false,false,false,2025-07-30,2025-07-30,false,false
21,Revolutionize Your Business with Our Cutting-Edge – PT. Sinar Biru Cemerlang,https://sinarbirucemerlang.com/2023/04/09/revolutionize-your-business-with-our-cutting-edge/,https://sprunky.gg/,Sprunky,25249,4786,false,false,false,true,false,false,false,false,2025-08-22,2025-09-22,false,false
20,Blog de Luis Mochán,http://em.fis.unam.mx/blog/mochan/varios/20150429luzEnMovimiento.writeback,https://sprunky.gg/,<a href='https://sprunky.gg/'>Sprunky</a>,111,5,false,false,false,true,false,false,false,false,2025-08-04,2025-11-09,false,false
20,Focaccia rossa - favole di farina,https://blog.giallozafferano.it/favoledifarina/focaccia-rossa/,https://sprunky.gg/,Sprunky,143,230,true,false,true,true,false,false,false,false,2025-08-06,2025-08-06,false,false
20,monkey mart – Community,https://community.decentrixweb.com/index.php/question/monkey-mart/,https://sprunky.gg/es,,4558,3148,false,false,false,false,false,false,true,false,2025-09-21,2025-10-29,false,false
20,Exploring New Horizons: Adventures Await – ITM Hong Kong (China),https://itm.hk/index.php/2023/11/11/exploring-new-horizons-adventures-await/,https://sprunky.gg/,https://sprunky.gg/,31256,5753,true,false,true,true,false,false,false,false,2025-08-23,2025-09-20,false,false
20,11. Duo_TikTok.mp4 - Gorilla Gorilla!,https://video.gorilla-gorilla.com/11-duotiktokmp4,https://sprunky.gg/es/brainrot,brainrot,93,136,false,false,false,true,false,false,false,false,2025-10-30,2025-10-30,true,false
20,Another Blog Post,https://www.thebatteryshop.gr/blog/another-blog-post,https://sprunky.gg/ja,https://sprunky.gg/ja,3839,102,false,false,false,true,false,false,false,false,2025-10-21,2025-10-21,true,false
19,Balancing Innovation and Integrity: Inside Wix’s AI Governance Team,https://careers.wix.com/post/balancing-innovation-and-integrity-inside-wix-s-ai-governance-team,https://sprunky.gg/brainrot,Brainrot,17,43,false,false,false,true,false,false,false,false,2025-11-07,2025-11-07,true,false
19,classe-dehors.org : Les 4 saisons de la classe dehors,https://classe-dehors.org/?4saisons,https://sprunky.gg/brainrot,Brainrot,14,70,false,false,false,true,false,false,false,false,2025-11-09,2025-11-09,true,false
19,"How a year in lockdown accelerated brand-meets-consumer interactivity - Ankita Tobit | WE ARE Pi, Bianca Cioti | Desperados (Heineken) - OnBrand",https://video.onbrand.me/how-a-year-in-lockdown-accelerated,https://sprunky.gg/es,Sprunki,2197,133,false,false,false,true,false,false,false,false,2025-10-30,2025-10-30,true,false
19,レシピ投稿についての利用規約 腎臓病食・介護食の通販ショッピングサイト｜ビースタイル本店,https://www.b-style-msc.com/hpgen/HPB/entries/57.html,https://sprunky.gg/brainrot,Brainrot,2442,270,false,false,false,true,false,false,false,false,2025-11-06,2025-11-06,true,false
19,Mastering Time Management: Key to Business Success - Pega Dados,https://www.pegadados.com.br/2023/06/22/mastering-time-management-key-to-business-success/,https://sprunky.gg/brainrot,Brainrot,96,124,true,false,true,true,false,false,false,false,2025-10-31,2025-11-09,true,false
19,10 Endangered Butterflies and Their Host Plants - Save Our Monarchs,https://www.saveourmonarchs.org/blog/10-endangered-butterflies,https://sprunky.gg/,link,533,84,true,false,false,true,false,false,false,false,2025-08-27,2025-08-27,false,false
18,photo janet mari | CUNYMath Blog,https://cunymathblog.commons.gc.cuny.edu/2012/11/09/outliers-stereotypes-and-others-expectations-with-professor-janet-liou-mark/photo-janet-mari/,https://sprunky.gg/es,Sprunki,7,62,true,false,true,true,false,false,false,false,2025-11-02,2025-11-08,true,false
18,The Importance of Building a Strong Brand Identity – EURO COMMISSION,https://euro-commission.com/index.php/2023/06/22/the-importance-of-building-a-strong-brand-identity/,https://sprunky.gg/ja,スプランキー,32749,4055,false,false,false,true,false,false,false,false,2025-09-12,2025-10-07,false,false
18,Navigating the World of Digital Marketing Courses - govtcollegekeolari.org,https://govtcollegekeolari.org/navigating-the-world-of-digital-marketing-courses/,https://sprunky.gg/ja,スプランキー,35511,4289,false,false,false,true,false,false,false,false,2025-08-31,2025-08-31,false,false
18,"HeyLink.me | Sprunky Game, Sprunki Game",https://heylink.me/marslife/,https://sprunky.gg/,sprunky.gg,6,8,true,false,true,true,false,false,false,false,2025-06-03,2025-08-26,false,false
18,PGバリアスタンド パネルデポ-プラス,https://panel-depo-plus.jp/hpgen/HPB/entries/54.html,https://sprunky.gg/brainrot,Brainrot,553,73,false,false,false,true,false,false,false,false,2025-11-06,2025-11-06,true,false
18,在庫補充完了しました！ よさこい衣装や半纏、法被（はんてん・はっぴ）製作 販売 | お祭天国,https://www.eventcreates.com/hpgen/HPB/entries/61.html,https://sprunky.gg/brainrot,Brainrot,1063,82,false,false,false,true,false,false,false,false,2025-11-04,2025-11-10,true,false
18,和歌山国体 トラック ポイントレース決勝！ ORYZAE BREWING/ferment works,https://www.fermentworks.jp/hpgen/HPB/entries/65.html,https://sprunky.gg/brainrot,Brainrot,637,26,false,false,false,true,false,false,false,false,2025-11-02,2025-11-07,true,false
18,送料変更のお知らせ ナッツとドライフルーツの専門店｜軽井沢きなり,https://www.karuizawa-kinari.com/hpgen/HPB/entries/144.html,https://sprunky.gg/brainrot,Brainrot,4469,42,false,false,false,true,false,false,false,false,2025-11-01,2025-11-01,true,false
18,巨大魚あらわる。 健康生活研究所・本店,https://www.s-tanpopo.com/hpgen/HPB/entries/68.html,https://sprunky.gg/ja,スプランキー,1495,216,false,false,false,true,false,false,false,false,2025-08-02,2025-11-05,false,false
