Title,Page URL,Game URL,Cover Image,Rating,Content Path
Friday Night Sprunki,https://geometrylite.io/friday-night-sprunki,https://html5.gamedistribution.com/ea32a1b7222c4d25a207564983ec6cdb/?gd_sdk_referrer_url=https://geometrylite.io/friday-night-sprunki,https://geometrylite.io/cache/data/image/game/friday-night-sprunki-m300x180.webp,6.7,content/friday-night-sprunki.md
Whopper Clicker,https://geometrylite.io/whopper-clicker,https://www.hoodamath.com/mobile/games/whopper-clicker/game.html?nocheckorient=1,https://geometrylite.io/cache/data/image/game/whopper-clicker-m300x180.webp,10,content/whopper-clicker.md
Geometry: Perfect Wave,https://geometrylite.io/geometry-perfect-wave,https://yandex.com/games/app/404423?utm_source=distrib&is-united-page=1&skip-guard=1&header=no&utm_medium=geometrylite.io&clid=10575041&flags=%7B%22adv_sticky_banner_disabled%22%3Atrue%7D,https://geometrylite.io/cache/data/image/game/geometry-perfect-wave-m300x180.webp,8.6,content/geometry-perfect-wave.md
Moto X3M Spooky Land,https://geometrylite.io/moto-x3m-spooky-land,https://html5.gamedistribution.com/b8a342904608470a9f3382337aca3558/?gd_sdk_referrer_url=https://geometrylite.io/moto-x3m-spooky-land,https://geometrylite.io/cache/data/image/moto-x3m-spooky-land-3-m300x180.webp,10,content/moto-x3m-spooky-land.md
Squid Game Online,https://geometrylite.io/squid-game-online,https://archive777.com/Game-Files/Squid%20Game%20Final%20Version/,https://geometrylite.io/cache/data/image/game/squid-game-online-m300x180.webp,8.6,content/squid-game-online.md
Sprunki Retake,https://geometrylite.io/sprunki-retake,https://www.miniplay.com/embed/sprunki-retake,https://geometrylite.io/cache/data/image/game/sprunki-retake-m300x180.webp,10,content/sprunki-retake.md
Fireboy and Watergirl 5 Elements,https://geometrylite.io/fireboy-and-watergirl-5-elements,https://html5.gamedistribution.com/03f124074b0049f89fdace0cacf8ead5/?gd_sdk_referrer_url=https://geometrylite.io/fireboy-and-watergirl-5-elements,https://geometrylite.io/cache/data/image/fireboy-and-watergirl-5-elements-2-m300x180.webp,10,content/fireboy-and-watergirl-5-elements.md
Golf Orbit,https://geometrylite.io/golf-orbit,https://html5.gamedistribution.com/02ff01e6e9f7451ba28d889a2a55eec9/?gd_sdk_referrer_url=https://geometrylite.io/golf-orbit,https://geometrylite.io/cache/data/image/golf-orbit-2-m300x180.webp,10,content/golf-orbit.md
Eggy Car,https://geometrylite.io/eggy-car,https://1games.io/game/eggy-car/,https://geometrylite.io/cache/data/image/game/eggy-car-m300x180.webp,10,content/eggy-car.md
EvoWorld.io,https://geometrylite.io/evoworldio,https://html5.gamedistribution.com/b35768ea96e64e44b0c7de5d76bcd737/?gd_sdk_referrer_url=https://geometrylite.io/evoworldio,https://geometrylite.io/cache/data/image/evoworldio-1-m300x180.webp,10,content/evoworldio.md
Geometry Dash Bloodbath,https://geometrylite.io/geometry-dash-bloodbath,https://turbowarp.org/282675824/embed,https://geometrylite.io/cache/data/image/game/geometry-dash-bloodbath1-m300x180.webp,7.5,content/geometry-dash-bloodbath.md
Space Waves,https://geometrylite.io/space-waves,https://igroutka.ru/loader/game/51356/,https://geometrylite.io/cache/data/image/game/space-waves-m300x180.webp,8,content/space-waves.md
